# id outlier x sx y sy covxy corrxy
1 0 10.125200 0.056250 1.865400 0.137785 -0.005318 -0.672540
2 0 10.169800 0.108100 1.598190 0.199715 -0.015815 -0.652300
3 0 9.376790 0.103310 1.352980 0.120675 -0.011964 -0.881100
4 0 9.169320 0.066415 0.790797 0.145876 -0.009304 -0.748320
5 0 9.599990 0.073325 0.688071 0.201181 0.002315 0.153920
6 0 9.252160 0.066900 1.089460 0.100228 -0.005034 -0.743040
7 0 9.193160 0.057575 0.842893 0.152215 -0.004828 -0.523480
8 0 10.013900 0.040450 1.263430 0.270438 -0.004961 -0.345560
10 0 9.999550 0.064445 1.487610 0.137840 -0.004715 -0.466370
12 0 9.402140 0.041355 0.566606 0.215903 0.001955 0.173270
13 0 9.835920 0.016390 0.529654 0.243731 0.000394 0.095236
15 0 9.237970 0.038730 -0.167766 0.608994 -0.002690 -0.063913
16 0 9.843180 0.053100 1.396180 0.146590 -0.004308 -0.460310
18 0 9.461130 0.085225 0.876776 0.149392 -0.008667 -0.702200
19 0 9.091580 0.087130 0.714392 0.187548 -0.013185 -0.809340
20 0 9.082740 0.059555 0.457740 0.208495 -0.003461 -0.234040
21 0 9.301410 0.062760 1.144450 0.092080 -0.004540 -0.795840
22 0 10.918900 0.045400 2.546710 0.157360 -0.004570 -0.602080
23 0 9.028120 0.066290 0.663243 0.127725 -0.006562 -0.652060
24 0 9.348730 0.095525 0.591420 0.193566 -0.002803 -0.148560
25 0 9.921750 0.050410 1.493550 0.131665 -0.005234 -0.630900
26 0 10.422800 0.038600 1.751710 0.144290 0.000553 0.071237
27 0 9.960290 0.035450 1.409060 0.173895 -0.002412 -0.312860
28 0 10.371900 0.068200 1.589460 0.162720 -0.001264 -0.113460
29 0 10.769000 0.107400 1.783560 0.174065 -0.002684 -0.148460
30 0 9.450740 0.060655 1.006530 0.174252 -0.009737 -0.767340
32 0 9.898180 0.028590 1.118410 0.168241 -0.001355 -0.196230
33 0 9.525310 0.060895 1.201700 0.132405 -0.006477 -0.814860
34 0 9.070240 0.051110 0.593228 0.146872 -0.004905 -0.551140
35 0 9.209260 0.079180 0.818590 0.160624 -0.009931 -0.653920
38 0 9.668010 0.066570 0.816305 0.258773 0.004058 0.249120
39 0 8.979830 0.071360 0.922870 0.095381 -0.005157 -0.776060
40 0 9.671610 0.035085 1.203310 0.095230 -0.002401 -0.663320
41 0 9.267670 0.071395 0.948501 0.146696 -0.009991 -0.899000
42 0 9.359710 0.042460 0.836750 0.146746 -0.002299 -0.306950
44 0 8.771510 0.078445 0.798084 0.091489 -0.006498 -0.850760
45 0 9.465210 0.049100 1.220660 0.110390 -0.004598 -0.805970
48 0 9.503530 0.045495 1.082620 0.125258 -0.004490 -0.733800
50 0 9.283330 0.064370 1.040090 0.119106 -0.007035 -0.842440
53 0 9.247330 0.045815 1.258720 0.062390 -0.002048 -0.707550
54 0 8.176320 0.147300 0.293147 0.121976 -0.016549 -0.883190
55 0 9.187300 0.069750 0.872980 0.166337 -0.009217 -0.743260
58 0 10.185400 0.095750 1.885330 0.209025 -0.028955 -0.828320
62 0 10.009600 0.039560 1.224140 0.293409 -0.000198 -0.014043
63 0 9.813670 0.067625 0.636928 0.169161 0.002760 0.252460
64 0 9.066090 0.120575 1.033740 0.119899 -0.012860 -0.914770
65 0 8.951290 0.147280 0.729996 0.184861 -0.024730 -0.866110
68 0 9.699700 0.048145 0.519215 0.281651 0.004016 0.255700
69 0 9.109630 0.054365 0.775286 0.110804 -0.005551 -0.831420
73 0 9.273200 0.067600 0.952721 0.146852 -0.006440 -0.610760
74 0 9.195450 0.074190 0.759098 0.149837 -0.007434 -0.621240
75 0 9.807650 0.056995 1.504660 0.125600 -0.003454 -0.466530
