# id outlier x sx y sy covxy corrxy
1 0 10.125200 0.056250 1.953380 0.135205 -0.004265 -0.557660
2 0 10.169800 0.108100 1.674890 0.190395 -0.018638 -0.872540
3 0 9.376790 0.103310 1.279690 0.052540 -0.003377 -0.480720
4 0 9.169320 0.066415 1.176260 0.129295 -0.005022 -0.400630
5 0 9.599990 0.073325 1.046670 0.270148 -0.014161 -0.801530
6 0 9.252160 0.066900 1.141040 0.122425 -0.004398 -0.599510
7 0 9.193160 0.057575 1.084680 0.185885 -0.005451 -0.549330
8 0 10.013900 0.040450 1.681800 0.170950 -0.005213 -0.598390
10 0 9.999550 0.064445 1.554100 0.117190 -0.006649 -0.779100
12 0 9.402140 0.041355 1.002280 0.213029 -0.007086 -0.700420
13 0 9.835920 0.016390 1.297020 0.145705 -0.000787 -0.312890
15 0 9.237970 0.038730 0.310017 0.325494 -0.005610 -0.245810
16 0 9.843180 0.053100 1.588060 0.162035 -0.006171 -0.690000
18 0 9.461130 0.085225 0.925441 0.151021 -0.011448 -0.886750
19 0 9.091580 0.087130 1.099410 0.119339 -0.004535 -0.384670
20 0 9.082740 0.059555 0.744244 0.207867 -0.010157 -0.780260
21 0 9.301410 0.062760 1.418270 0.062285 -0.000750 -0.149410
22 0 10.918900 0.045400 2.808520 0.158230 -0.000284 -0.043421
23 0 9.028120 0.066290 1.048180 0.107180 -0.006036 -0.556150
24 0 9.348730 0.095525 0.880448 0.274960 -0.019170 -0.835740
25 0 9.921750 0.050410 1.923920 0.139885 -0.002743 -0.293210
26 0 10.422800 0.038600 2.231550 0.232510 -0.009133 -0.810720
27 0 9.960290 0.035450 1.707870 0.154840 -0.004546 -0.687060
28 0 10.371900 0.068200 1.725150 0.138965 -0.007808 -0.801700
29 0 10.769000 0.107400 1.978150 0.232690 -0.020857 -0.854560
30 0 9.450740 0.060655 1.404090 0.130715 -0.001782 -0.207820
32 0 9.898180 0.028590 1.710310 0.164770 -0.004548 -0.687310
33 0 9.525310 0.060895 1.610380 0.054825 0.000349 0.058622
34 0 9.070240 0.051110 1.007610 0.151883 -0.006180 -0.648670
35 0 9.209260 0.079180 0.995762 0.187961 -0.008480 -0.583770
38 0 9.668010 0.066570 1.092270 0.170136 -0.008569 -0.761600
39 0 8.979830 0.071360 1.056560 0.126991 -0.000470 -0.059843
40 0 9.671610 0.035085 1.740240 0.029810 -0.000866 -0.333390
41 0 9.267670 0.071395 1.383590 0.038260 -0.000057 -0.014673
42 0 9.359710 0.042460 1.213310 0.186655 -0.005849 -0.682440
44 0 8.771510 0.078445 0.953262 0.080100 0.001277 0.185980
45 0 9.465210 0.049100 1.565440 0.056915 -0.000473 -0.128200
48 0 9.503530 0.045495 1.549280 0.065820 -0.000275 -0.053945
50 0 9.283330 0.064370 1.420020 0.034875 0.000802 0.163470
53 0 9.247330 0.045815 1.428970 0.064640 -0.000625 -0.195040
54 0 8.176320 0.147300 0.192791 0.073330 -0.004144 -0.319040
55 0 9.187300 0.069750 1.069940 0.142716 -0.001171 -0.126480
58 0 10.185400 0.095750 2.162070 0.155300 -0.001288 -0.056501
62 0 10.009600 0.039560 1.473520 0.116515 -0.003625 -0.645990
63 0 9.813670 0.067625 0.794428 0.146406 -0.004473 -0.512540
64 0 9.066090 0.120575 0.968043 0.062002 -0.005108 -0.554850
65 0 8.951290 0.147280 0.701013 0.104263 -0.011877 -0.736570
68 0 9.699700 0.048145 0.940236 0.220689 -0.006919 -0.568300
69 0 9.109630 0.054365 1.227240 0.034095 0.000113 0.039246
73 0 9.273200 0.067600 1.259720 0.147840 -0.006499 -0.626550
74 0 9.195450 0.074190 0.859698 0.159387 -0.010181 -0.783960
75 0 9.807650 0.056995 1.735580 0.173845 -0.005549 -0.606370
77 0 10.736300 0.040600 1.481370 0.419390 -0.002920 -0.099106
79 0 10.366600 0.064150 1.677980 0.136165 -0.006875 -0.774180
81 0 9.705130 0.040110 1.616660 0.169060 -0.004046 -0.537670
84 0 9.974210 0.052615 2.092780 0.050415 -0.002455 -0.366120
85 0 9.566540 0.037650 1.689460 0.023820 -0.000209 -0.144850
86 0 10.218500 0.109100 1.772920 0.260985 -0.022844 -0.885580
87 0 9.905210 0.048115 1.827220 0.163575 -0.005785 -0.655040
88 0 10.268200 0.061950 2.023370 0.198250 -0.009890 -0.828960
89 0 9.342030 0.098010 0.373726 0.177195 -0.016002 -0.935820
90 0 9.129650 0.079060 0.525553 0.179963 -0.011302 -0.785890
91 0 10.148500 0.043400 1.964730 0.173345 -0.004462 -0.351920
92 0 9.267840 0.058755 1.346550 0.039165 -0.000170 -0.052241
93 0 9.578690 0.070450 1.235930 0.118495 -0.008151 -0.844370
94 0 10.085400 0.023950 1.555680 0.153125 -0.003125 -0.583820
96 0 9.865310 0.049875 1.636760 0.133825 -0.004616 -0.686720
98 0 9.214170 0.101600 1.255100 0.067245 -0.001200 -0.154660
100 1 10.115500 0.063100 -0.201518 0.656532 0.004032 0.077674
101 0 9.940210 0.045875 1.994280 0.044085 -0.000744 -0.242290
104 0 9.122000 0.069030 1.128460 0.140241 -0.004589 -0.517320
106 0 8.998960 0.074655 0.170569 0.240530 -0.007966 -0.475960
108 0 10.013100 0.047570 1.730870 0.182420 -0.007138 -0.812660
109 0 9.383240 0.081220 0.807539 0.189563 -0.012629 -0.848130
110 0 10.068500 0.045950 1.763200 0.188360 -0.007004 -0.749800
112 0 9.284770 0.076935 1.398910 0.135155 0.004269 0.199910
113 0 9.634080 0.061290 1.070260 0.118685 -0.006005 -0.823850
