# x xerr y yerr ymodel yresidual
0.988175 0.056250 0.972513 0.213080 0.974001 -0.001488
1.032775 0.108100 0.716963 0.247485 1.017273 -0.300310
0.239765 0.103310 0.268673 0.121055 0.247874 0.020799
0.032295 0.066415 0.273293 0.131845 0.046582 0.226711
0.462965 0.073325 0.299523 0.296849 0.464429 -0.164906
0.115135 0.066900 0.156183 0.205168 0.126955 0.029228
0.056135 0.057575 0.140043 0.265662 0.069712 0.070331
0.876875 0.040450 0.881643 0.212480 0.866015 0.015628
0.862525 0.064445 0.559143 0.195830 0.852092 -0.292949
0.265115 0.041355 0.223563 0.259144 0.272469 -0.048906
0.698895 0.016390 0.779183 0.058265 0.693334 0.085849
0.100945 0.038730 -0.039887 0.168336 0.113188 -0.153075
0.706155 0.053100 0.659843 0.245420 0.700378 -0.040535
0.324105 0.085225 -0.050258 0.211641 0.329703 -0.379961
-0.045444 0.087130 0.213373 0.105467 -0.028843 0.242216
-0.054285 0.059555 -0.141902 0.297320 -0.037421 -0.104481
0.164385 0.062760 0.523063 0.068285 0.174738 0.348325
1.781875 0.045400 1.858123 0.247230 1.744069 0.114054
-0.108905 0.066290 0.151413 0.101041 -0.090414 0.241827
0.211705 0.095525 -0.001727 0.375659 0.220650 -0.222377
0.784725 0.050410 1.017043 0.140455 0.776609 0.240434
1.285775 0.038600 1.354773 0.254140 1.262740 0.092033
0.823265 0.035450 0.832983 0.210680 0.814001 0.018982
1.234875 0.068200 0.882923 0.248990 1.213355 -0.330432
1.631975 0.107400 1.198223 0.367345 1.598632 -0.400410
0.313715 0.060655 0.519293 0.112505 0.319622 0.199671
0.761155 0.028590 0.896693 0.092820 0.753740 0.142953
0.388285 0.060895 0.708153 0.055225 0.391972 0.316181
-0.066785 0.051110 0.118813 0.130488 -0.049548 0.168361
0.072235 0.079180 0.050172 0.266883 0.085332 -0.035160
0.530985 0.066570 0.286273 0.312836 0.530423 -0.244150
-0.157195 0.071360 0.132583 0.173386 -0.137267 0.269850
0.534585 0.035085 0.849183 0.032380 0.533916 0.315267
0.130645 0.071395 0.497203 0.036090 0.142003 0.355200
0.222685 0.042460 0.321513 0.197211 0.231303 0.090210
-0.365515 0.078445 0.058071 0.084178 -0.339384 0.397455
0.328185 0.049100 0.670723 0.062705 0.333662 0.337061
0.366505 0.045495 0.647833 0.059195 0.370840 0.276993
0.146305 0.064370 0.525573 0.035610 0.157197 0.368376
