# x xerr y yerr ymodel yresidual
0.914545 0.115690 1.313758 0.144095 0.756092 0.557666
0.981425 0.056140 1.034118 0.132335 0.811490 0.222628
1.024005 0.052515 0.901398 0.267638 0.846759 0.054639
1.073175 0.044090 1.215068 0.101365 0.887488 0.327580
0.965605 0.037210 1.080578 0.081630 0.798386 0.282192
1.087115 0.027585 0.727694 0.173293 0.899034 -0.171340
1.426846 0.037150 1.511108 0.103115 1.180437 0.330671
0.831955 0.031850 0.582485 0.153455 0.687682 -0.105197
0.475115 0.048855 0.660196 0.096229 0.392107 0.268089
0.843905 0.073055 1.282128 0.102560 0.697581 0.584547
1.021185 0.041595 0.887458 0.202275 0.844423 0.043034
1.356845 0.043245 1.271218 0.130505 1.122455 0.148763
1.360146 0.021815 0.799458 0.199818 1.125189 -0.325731
1.857845 0.052600 1.718638 0.160720 1.537440 0.181198
1.816445 0.043550 1.342908 0.330620 1.503147 -0.160240
0.470756 0.033855 0.612981 0.077689 0.388496 0.224485
1.369946 0.040210 1.170968 0.147775 1.133306 0.037662
0.779725 0.046095 0.720412 0.145305 0.644419 0.075993
1.040775 0.043035 1.097378 0.104330 0.860650 0.236728
0.532915 0.086910 0.790338 0.135394 0.439984 0.350354
1.412645 0.024450 1.112048 0.115765 1.168675 -0.056627
0.939085 0.034940 0.752638 0.138719 0.776419 -0.023781
1.198885 0.058300 1.277208 0.120280 0.991615 0.285593
1.263435 0.045145 1.094338 0.216100 1.045083 0.049255
0.242945 0.108555 0.784678 0.107215 0.199798 0.584880
0.437085 0.069285 0.788768 0.088568 0.360606 0.428161
0.034105 0.119080 0.764498 0.089780 0.026813 0.737685
1.275785 0.045905 1.169388 0.145135 1.055312 0.114076
1.074716 0.034810 0.846788 0.132477 0.888764 -0.041976
1.049735 0.040665 0.913418 0.171443 0.868072 0.045346
0.048085 0.142340 -0.174105 0.145468 0.038393 -0.212499
1.095045 0.045465 0.951838 0.162075 0.905603 0.046235
1.175885 0.044050 1.334868 0.098250 0.972564 0.362304
0.877675 0.037265 1.503028 0.043465 0.725552 0.777475
0.529426 0.059145 0.758126 0.129293 0.437093 0.321033
0.737266 0.035240 0.826638 0.086271 0.609250 0.217388
2.365245 0.032900 1.334798 0.311970 1.957725 -0.622927
0.462115 0.072590 1.001988 0.095640 0.381339 0.620649
1.017885 0.037240 0.999498 0.110095 0.841690 0.157808
1.160385 0.022140 0.709376 0.163235 0.959725 -0.250349
0.916105 0.035640 1.067718 0.085235 0.757385 0.310333
1.827045 0.034950 1.375878 0.197445 1.511928 -0.136050
0.745765 0.079795 1.302858 0.083710 0.616290 0.686568
2.395246 0.035200 1.407508 0.127635 1.982575 -0.575067
0.246185 0.047130 -0.090845 0.351032 0.202482 -0.293327
0.791175 0.033740 0.463209 0.163004 0.653903 -0.190694
0.176045 0.051650 0.444105 0.102709 0.144384 0.299721
1.168665 0.036085 1.264178 0.081495 0.966583 0.297595
-1.120695 0.178510 -0.452953 0.125868 -0.929722 0.476769
-0.590605 0.116555 -0.442562 0.154506 -0.490642 0.048080
0.395135 0.057450 0.668578 0.113362 0.325859 0.342719
0.209975 0.028260 -0.323145 0.244836 0.172489 -0.495633
-0.705935 0.147205 -0.507949 0.177428 -0.586171 0.078222
-0.249465 0.117480 -0.601325 0.100268 -0.208071 -0.393254
-0.776045 0.129875 -0.293083 0.147559 -0.644244 0.351161
0.737266 0.026700 0.460128 0.129771 0.609250 -0.149122
-0.052985 0.039665 -0.298158 0.193398 -0.045325 -0.252834
0.170526 0.053295 0.130146 0.132139 0.139812 -0.009666
-1.159165 0.203985 0.047038 0.115807 -0.961587 1.008625
0.757375 0.049465 0.688535 0.159675 0.625906 0.062629
1.610445 0.036600 1.414308 0.182470 1.332515 0.081793
-0.579064 0.113535 0.000747 0.107752 -0.481083 0.481830
-0.136175 0.132885 0.357620 0.111447 -0.114232 0.471852
0.897375 0.019225 0.141142 0.193591 0.741870 -0.600728
0.101066 0.122500 0.824128 0.099619 0.082277 0.741850
-0.528025 0.113365 -0.305916 0.187341 -0.438806 0.132890
0.093725 0.060190 0.262978 0.114003 0.076197 0.186781
-0.250565 0.143415 -0.625402 0.181772 -0.208982 -0.416420
0.414145 0.090565 0.031478 0.194718 0.341605 -0.310127
0.256435 0.063920 0.548723 0.098297 0.210972 0.337751
-0.097835 0.067600 0.131855 0.132572 -0.082474 0.214329
1.301055 0.035960 1.150338 0.124745 1.076243 0.074095
-0.425455 0.127505 -0.081322 0.144309 -0.353846 0.272524
0.324115 0.058550 0.415707 0.132188 0.267032 0.148675
-0.573464 0.108970 -0.683246 0.242636 -0.476444 -0.206802
-0.949905 0.236840 0.164458 0.136644 -0.788254 0.952712
-0.473084 0.096285 -0.554694 0.082879 -0.393298 -0.161396
-0.639425 0.126975 -0.623687 0.167256 -0.531080 -0.092607
-0.185055 0.136435 -0.900053 0.241519 -0.154720 -0.745333
-0.364695 0.113290 -0.443234 0.220315 -0.303518 -0.139717
0.136565 0.069480 -0.162151 0.249159 0.111682 -0.273833
1.295506 0.023940 0.957908 0.144025 1.071647 -0.113739
