# id outlier x sx y sy covxy corrxy
1 0 9.561000 0.115690 1.552180 0.144095 -0.018237 -0.759140
7 0 9.627880 0.056140 1.272540 0.132335 -0.004369 -0.514930
11 0 9.670460 0.052515 1.139820 0.267638 -0.014399 -0.535190
12 0 9.719630 0.044090 1.453490 0.101365 -0.003734 -0.804290
18 0 9.612060 0.037210 1.319000 0.081630 -0.002307 -0.702490
21 0 9.733570 0.027585 0.966116 0.173293 -0.002765 -0.546900
23 0 10.073300 0.037150 1.749530 0.103115 -0.002110 -0.477740
24 0 9.478410 0.031850 0.820907 0.153455 -0.003600 -0.686490
27 0 9.121570 0.048855 0.898618 0.096229 -0.003649 -0.729290
29 0 9.490360 0.073055 1.520550 0.102560 -0.006823 -0.841060
30 0 9.667640 0.041595 1.125880 0.202275 -0.004726 -0.494980
31 0 10.003300 0.043245 1.509640 0.130505 -0.003659 -0.642000
32 0 10.006600 0.021815 1.037880 0.199818 -0.002122 -0.466630
33 0 10.504300 0.052600 1.957060 0.160720 -0.012072 -0.679180
34 0 10.462900 0.043550 1.581330 0.330620 -0.012838 -0.451490
35 0 9.117210 0.033855 0.851403 0.077689 -0.001748 -0.629670
37 0 10.016400 0.040210 1.409390 0.147775 -0.003306 -0.505200
39 0 9.426180 0.046095 0.958834 0.145305 -0.004994 -0.806750
41 0 9.687230 0.043035 1.335800 0.104330 -0.003417 -0.727010
45 0 9.179370 0.086910 1.028760 0.135394 -0.010109 -0.697310
46 0 10.059100 0.024450 1.350470 0.115765 -0.004247 -0.644950
47 0 9.585540 0.034940 0.991060 0.138719 -0.003768 -0.791490
48 0 9.845340 0.058300 1.515630 0.120280 -0.003878 -0.451220
49 0 9.909890 0.045145 1.332760 0.216100 -0.003866 -0.366770
51 0 8.889400 0.108555 1.023100 0.107215 -0.008424 -0.695240
52 0 9.083540 0.069285 1.027190 0.088568 -0.005060 -0.740760
53 0 8.680560 0.119080 1.002920 0.089780 -0.009867 -0.883060
55 0 9.922240 0.045905 1.407810 0.145135 -0.004964 -0.767720
56 0 9.721170 0.034810 1.085210 0.132477 -0.003843 -0.602740
57 0 9.696190 0.040665 1.151840 0.171443 -0.001703 -0.198510
58 0 8.694540 0.142340 0.064317 0.145468 -0.006004 -0.262060
59 0 9.741500 0.045465 1.190260 0.162075 -0.006945 -0.787410
60 0 9.822340 0.044050 1.573290 0.098250 -0.003637 -0.804360
61 0 9.524130 0.037265 1.741450 0.043465 -0.001284 -0.723620
66 0 9.175880 0.059145 0.996548 0.129293 -0.006798 -0.789420
67 0 9.383720 0.035240 1.065060 0.086271 -0.002376 -0.735750
71 0 11.011700 0.032900 1.573220 0.311970 0.003125 0.246240
73 0 9.108570 0.072590 1.240410 0.095640 -0.004972 -0.693480
74 0 9.664340 0.037240 1.237920 0.110095 -0.003353 -0.766640
75 0 9.806840 0.022140 0.947798 0.163235 -0.001878 -0.491530
76 0 9.562560 0.035640 1.306140 0.085235 -0.002771 -0.790430
78 0 10.473500 0.034950 1.614300 0.197445 -0.004667 -0.625810
80 0 9.392220 0.079795 1.541280 0.083710 -0.005978 -0.842600
84 0 11.041700 0.035200 1.645930 0.127635 -0.008975 -0.801850
85 0 8.892640 0.047130 0.147577 0.351032 -0.009881 -0.557950
87 0 9.437630 0.033740 0.701631 0.163004 -0.003726 -0.645480
89 0 8.822500 0.051650 0.682527 0.102709 -0.002969 -0.578510
91 0 9.815120 0.036085 1.502600 0.081495 -0.002156 -0.726770
92 0 7.525760 0.178510 -0.214531 0.125868 -0.016882 -0.783530
93 0 8.055850 0.116555 -0.204140 0.154506 -0.014480 -0.734440
94 0 9.041590 0.057450 0.907000 0.113362 -0.005301 -0.813140
99 0 8.856430 0.028260 -0.084723 0.244836 -0.002309 -0.268770
100 0 7.940520 0.147205 -0.269527 0.177428 -0.019054 -0.644730
101 0 8.396990 0.117480 -0.362903 0.100268 0.000659 0.037888
102 0 7.870410 0.129875 -0.054661 0.147559 -0.012923 -0.733240
105 0 9.383720 0.026700 0.698550 0.129771 -0.002162 -0.577400
108 0 8.593470 0.039665 -0.059736 0.193398 -0.001755 -0.180070
109 0 8.816980 0.053295 0.368568 0.132139 -0.002563 -0.265260
111 1 7.487290 0.203985 0.285460 0.115807 -0.023257 -0.852150
113 0 9.403830 0.049465 0.926957 0.159675 -0.005391 -0.711810
114 0 10.256900 0.036600 1.652730 0.182470 -0.012152 -0.684600
115 0 8.067390 0.113535 0.239169 0.107752 -0.008865 -0.698980
116 0 8.510280 0.132885 0.596042 0.111447 -0.012861 -0.866750
117 0 9.543830 0.019225 0.379564 0.193591 -0.001287 -0.312960
118 0 8.747520 0.122500 1.062550 0.099619 -0.010435 -0.877210
121 0 8.118430 0.113365 -0.067494 0.187341 -0.015034 -0.744890
122 0 8.740180 0.060190 0.501400 0.114003 -0.004833 -0.601830
123 0 8.395890 0.143415 -0.386980 0.181772 -0.011517 -0.385840
125 0 9.060600 0.090565 0.269900 0.194718 0.002401 0.122250
126 0 8.902890 0.063920 0.787145 0.098297 -0.005357 -0.810610
129 0 8.548620 0.067600 0.370277 0.132572 -0.006385 -0.698790
131 0 9.947510 0.035960 1.388760 0.124745 -0.001968 -0.350430
133 0 8.221000 0.127505 0.157100 0.144309 -0.014966 -0.721260
135 0 8.970570 0.058550 0.654129 0.132188 -0.006230 -0.697350
137 0 8.072990 0.108970 -0.444824 0.242636 -0.014144 -0.379910
141 1 7.696550 0.236840 0.402880 0.136644 -0.025204 -0.864980
142 0 8.173370 0.096285 -0.316272 0.082879 -0.004444 -0.415030
144 0 8.007030 0.126975 -0.385265 0.167256 -0.014301 -0.587270
145 0 8.461400 0.136435 -0.661631 0.241519 0.014429 0.370400
147 0 8.281760 0.113290 -0.204812 0.220315 -0.013776 -0.440560
148 0 8.783020 0.069480 0.076271 0.249159 -0.003302 -0.147120
152 0 9.941960 0.023940 1.196330 0.144025 -0.001741 -0.435600
153 0 9.084620 0.053580 0.675278 0.174569 -0.006573 -0.657740
154 0 9.108510 0.021815 0.161342 0.184181 -0.001475 -0.325230
155 0 8.396060 0.084130 0.402116 0.086885 -0.008040 -0.773520
156 0 8.292780 0.114545 0.007584 0.173139 -0.013486 -0.637670
157 0 8.631240 0.106300 -0.109413 0.135333 -0.002597 -0.156360
159 0 9.963040 0.019535 1.059150 0.147780 -0.002917 -0.662380
161 0 8.369970 0.090300 0.615447 0.070421 -0.004985 -0.770300
164 0 9.405790 0.060070 0.783932 0.161916 -0.004160 -0.384190
165 0 8.970690 0.056470 0.302420 0.249499 -0.010754 -0.792130
166 1 7.967840 0.114230 0.738126 0.062918 -0.005502 -0.754840
167 0 8.034650 0.138540 0.598933 0.081444 -0.009362 -0.816060
168 0 9.008450 0.073960 0.470358 0.113870 -0.002817 -0.281140
169 0 8.255340 0.142970 0.223076 0.145859 -0.020358 -0.852390
170 0 8.838830 0.041530 0.233436 0.194884 -0.005110 -0.617970
171 0 9.178350 0.045490 0.669123 0.185227 -0.003451 -0.375640
172 0 9.529920 0.030610 1.366220 0.058220 -0.001477 -0.717160
173 0 7.674880 0.110050 -0.001106 0.077064 -0.007212 -0.853510
174 0 8.167640 0.067465 -0.168067 0.130104 -0.005792 -0.531150
175 0 7.481340 0.103210 -0.720947 0.180051 -0.012776 -0.699620
176 0 8.852690 0.059770 0.519273 0.156902 -0.007130 -0.738330
177 0 7.928050 0.082335 -0.194176 0.111634 -0.007114 -0.729260
178 0 8.098730 0.079215 -0.211162 0.100760 -0.007470 -0.781180
180 0 8.808320 0.049795 0.412971 0.127423 -0.004860 -0.786500
181 0 8.516250 0.098720 0.232374 0.167387 -0.011123 -0.655230
182 0 7.874740 0.291640 -0.249804 0.250163 -0.057481 -0.808030
183 0 9.563430 0.020470 0.465589 0.196914 -0.001065 -0.247960
184 0 9.569730 0.033510 1.381720 0.071215 -0.002228 -0.721930
185 0 8.659750 0.056200 0.253355 0.141795 -0.006147 -0.721150
186 0 8.798650 0.060355 0.497603 0.143928 -0.006989 -0.803060
187 0 9.048470 0.036145 0.501495 0.126672 -0.003774 -0.713710
190 0 9.192330 0.039950 0.801368 0.123566 -0.003629 -0.726120
