# id x_refit sx_refit y_refit sy_refit sx_refit2 sy_refit2 covxy_refit corrxy_refit sigxp2 sigyp2 theta
1 1.451590 0.068300 1.232165 0.145435 0.004665 0.021151 -0.000370 -0.134160 0.021160 0.004657 -88.715233
2 0.575239 0.091605 0.828905 0.229665 0.008391 0.052746 -0.011587 -0.491020 0.055591 0.005547 -76.207092
3 0.484449 0.090435 0.459585 0.353887 0.008178 0.125236 -0.018868 -0.586520 0.128202 0.005212 -81.066101
4 0.127540 0.084035 0.042332 0.286424 0.007062 0.082039 -0.008795 -0.208510 0.083057 0.006044 -83.398735
5 1.444889 0.058700 1.704015 0.241240 0.003446 0.058197 -0.007860 -0.477480 0.059303 0.002340 -81.989845
6 0.626289 0.124225 0.751115 0.163220 0.015432 0.026641 -0.004737 -0.097858 0.028375 0.013698 -69.896225
7 -0.032670 0.038260 0.422215 0.029145 0.001464 0.000849 -0.000013 -0.173580 0.001464 0.000849 -1.241012
8 -0.444671 0.126040 -0.823364 0.373751 0.015886 0.139690 -0.039676 -0.492790 0.151314 0.004262 -73.671112
9 1.680090 0.071600 1.449525 0.130620 0.005127 0.017062 0.007411 0.406530 0.020609 0.001579 64.420357
10 -0.052501 0.083295 -0.285508 0.187125 0.006938 0.035016 -0.002255 -0.568770 0.035195 0.006758 -85.437950
12 0.060550 0.030015 0.344845 0.083960 0.000901 0.007049 -0.000089 -0.240510 0.007051 0.000900 -89.171478
13 0.246650 0.098135 -0.152477 0.216983 0.009630 0.047082 0.016941 0.260520 0.053608 0.003104 68.932198
14 1.600789 0.060900 1.403475 0.098745 0.003709 0.009751 0.002147 0.308920 0.010436 0.003024 72.298920
17 0.996989 0.067750 1.149315 0.233545 0.004590 0.054543 -0.002829 -0.243100 0.054703 0.004430 -86.768822
19 1.176390 0.077700 1.040465 0.231310 0.006037 0.053504 -0.001633 -0.384850 0.053560 0.005981 -88.032196
20 0.628599 0.045110 1.051355 0.031450 0.002035 0.000989 -0.000030 -0.181880 0.002036 0.000988 -1.632007
21 0.954889 0.076685 0.689855 0.214170 0.005881 0.045869 0.004694 0.089060 0.046412 0.005337 83.393578
22 0.014420 0.023315 0.127234 0.097692 0.000544 0.009544 0.000036 0.033565 0.009544 0.000543 89.769066
23 -0.732861 0.092265 -0.621305 0.243505 0.008513 0.059295 -0.005265 -0.242500 0.059835 0.007973 -84.142754
24 -0.117961 0.095190 -0.315484 0.184271 0.009061 0.033956 -0.007816 -0.162510 0.036206 0.006811 -73.937347
25 -0.040360 0.031335 0.160484 0.103378 0.000982 0.010687 -0.007927 -0.502990 0.015128 -0.003460 -60.737213
26 -0.337151 0.087660 -0.241663 0.256964 0.007684 0.066030 -0.009550 -0.325290 0.067554 0.006161 -80.936462
28 0.195049 0.106675 0.214535 0.267655 0.011380 0.071639 -0.010824 -0.265210 0.073525 0.009494 -80.119743
29 0.319369 0.037105 0.355765 0.182878 0.001377 0.033445 -0.002661 -0.610350 0.033664 0.001158 -85.289200
30 0.002529 0.023035 0.087820 0.127329 0.000531 0.016213 -0.000244 -0.221460 0.016217 0.000527 -89.110016
32 0.322430 0.027645 0.702285 0.043965 0.000764 0.001933 -0.000025 -0.245410 0.001933 0.000764 -88.789963
33 -0.405190 0.059435 -0.575606 0.111619 0.003533 0.012459 -0.000488 -0.333120 0.012485 0.003506 -86.881996
35 -0.201691 0.064185 0.199451 0.059315 0.004120 0.003518 -0.000065 -0.113760 0.004127 0.003511 -6.065211
36 1.273990 0.043550 1.225735 0.201115 0.001897 0.040447 0.002016 0.254980 0.040552 0.001791 87.014427
37 0.927389 0.015350 1.080975 0.064100 0.000236 0.004109 0.000039 0.137740 0.004109 0.000235 89.418816
38 0.739559 0.069960 0.881875 0.194525 0.004894 0.037840 -0.003671 -0.329390 0.038244 0.004490 -83.718887
39 0.339660 0.022270 0.562935 0.093360 0.000496 0.008716 -0.000212 -0.307220 0.008722 0.000490 -88.521820
