# id outlier x sx y sy covxy corrxy
11 0 9.464420 0.050610 1.580850 0.027595 0.001609 0.377740
19 0 9.513860 0.051305 1.510350 0.050045 0.000124 0.044734
27 0 10.272400 0.030900 2.317940 0.027795 0.000042 0.043663
30 0 9.287270 0.076655 1.450840 0.049080 0.000962 0.154680
31 0 10.363800 0.025950 2.293340 0.063085 0.000079 0.011224
34 0 9.787270 0.031125 1.738460 0.055580 0.000267 0.106730
37 0 9.622700 0.083800 1.723760 0.042440 0.001353 0.340840
38 0 10.160500 0.049700 2.026770 0.182130 -0.002003 -0.117510
41 0 9.518260 0.065685 1.738390 0.034970 0.000352 0.136990
42 0 9.496730 0.070165 1.551450 0.058825 0.000393 0.072540
43 0 9.545120 0.028825 1.498070 0.044090 -0.000068 -0.043481
46 0 9.484390 0.021580 1.433750 0.047495 0.000426 0.229980
48 0 9.583990 0.028745 1.549810 0.052065 -0.000053 -0.030658
49 0 9.725020 0.059945 1.806410 0.054295 0.001153 0.097210
50 0 9.889990 0.041940 1.944590 0.026820 0.000778 0.286640
51 0 9.128350 0.118965 0.924950 0.219345 -0.005161 -0.223700
53 0 8.297540 0.111235 0.496103 0.118789 -0.003017 -0.255070
57 0 9.637630 0.048060 1.623870 0.050740 0.000835 0.170600
62 0 10.041600 0.061910 2.118480 0.038495 0.000175 0.023560
63 0 8.823740 0.074245 0.886322 0.089345 0.000359 0.040978
64 0 9.512400 0.044025 1.516530 0.066295 -0.000215 -0.065037
65 0 9.581540 0.057210 1.752240 0.067720 0.000007 0.001398
66 0 9.592960 0.051150 1.717930 0.164885 0.001944 0.264950
69 0 9.887570 0.047025 1.844710 0.059455 0.003072 0.561020
74 0 9.157420 0.074475 1.175890 0.083090 0.000251 0.030493
76 0 9.401640 0.074905 1.579510 0.111575 -0.002737 -0.328240
79 0 8.245080 0.217135 -0.248709 0.163246 -0.035133 -0.810040
80 0 8.247820 0.166515 -0.101647 0.189939 -0.015872 -0.481010
81 0 8.831750 0.050990 0.862267 0.044969 0.000389 0.137120
82 1 9.010230 0.102560 0.483119 0.205450 -0.009570 -0.466910
83 0 8.396930 0.151405 0.410495 0.168530 -0.002375 -0.102700
87 0 8.917700 0.060095 1.199150 0.085255 0.000208 0.039161
88 0 8.817830 0.165150 0.987662 0.115159 -0.015241 -0.808900
89 0 9.121470 0.055950 0.960530 0.167779 0.001165 0.111510
90 0 8.394530 0.128785 0.375962 0.173221 0.004591 0.222940
91 0 9.518630 0.048595 1.475280 0.071565 0.003525 0.506660
95 0 9.914520 0.030890 1.907250 0.033755 0.000892 0.338740
97 0 8.879670 0.037775 0.826325 0.060440 0.000266 0.100790
98 0 9.443510 0.028815 1.317080 0.063700 0.000550 0.241640
99 0 8.744880 0.070345 0.838579 0.040787 0.001404 0.405900
101 0 9.380550 0.052195 1.545000 0.062910 0.000013 0.002643
102 0 9.399830 0.053330 1.579120 0.036495 0.000416 0.191250
104 0 9.798560 0.059195 1.922850 0.027880 0.001651 0.348590
106 0 7.706080 0.242410 -0.132584 0.127330 -0.010509 -0.368040
107 0 9.284310 0.037050 1.246770 0.050810 0.002012 0.404370
108 0 10.095200 0.060900 2.152080 0.032620 0.000723 0.250770
109 0 9.489420 0.026550 1.513940 0.025415 0.001744 0.442810
110 0 8.375120 0.099075 -0.120896 0.249919 -0.013546 -0.540790
111 1 10.570700 0.062300 1.982840 0.099430 -0.005849 -0.554680
112 0 8.330540 0.114940 -0.155656 0.240234 -0.014290 -0.515910
114 0 8.852770 0.081810 0.881287 0.047119 0.001171 0.273970
115 0 8.422310 0.075365 0.428458 0.062995 0.001554 0.272770
116 0 8.179340 0.306910 0.025287 0.198772 -0.033537 -0.637140
117 0 9.031740 0.043665 1.070360 0.035615 0.000227 0.123340
118 0 7.433240 0.134310 -0.719512 0.229680 -0.000602 -0.020640
119 0 8.202540 0.090945 0.488491 0.088442 -0.003591 -0.477180
122 0 8.469920 0.167645 0.303484 0.174923 -0.011634 -0.437860
123 0 7.304220 0.260475 -0.665416 0.150974 -0.023820 -0.697720
124 1 7.437060 0.058675 0.287224 0.037997 -0.001028 -0.433530
125 0 9.514970 0.059675 1.723970 0.032350 0.000264 0.122330
126 0 8.099160 0.128090 -0.077462 0.133720 -0.011016 -0.630770
127 0 8.046570 0.059070 -0.000633 0.101533 0.001135 0.105370
128 0 8.738010 0.058590 0.648681 0.090675 0.000820 0.100300
131 0 8.068130 0.058270 -0.172798 0.219697 -0.002586 -0.160520
132 0 8.221380 0.045605 0.043029 0.156236 -0.001597 -0.191320
133 0 8.023490 0.092445 -0.239489 0.259474 -0.003595 -0.151900
134 0 8.282440 0.085410 0.130759 0.227683 -0.002738 -0.144780
135 0 7.975850 0.081730 -0.340638 0.261511 -0.008448 -0.345160
136 0 8.212920 0.166580 0.097554 0.178149 -0.008664 -0.310730
137 0 9.230660 0.030500 1.053540 0.079576 0.001831 0.836440
138 0 8.110330 0.050035 0.015266 0.104747 0.000608 0.084809
140 0 8.688250 0.097770 0.663507 0.096806 -0.006141 -0.573580
142 0 8.079820 0.059620 -0.062861 0.191900 0.000347 0.027598
143 0 8.220480 0.047845 0.235508 0.077560 0.001070 0.231890
144 0 8.978310 0.042030 1.072360 0.032735 0.000374 0.230460
145 0 7.903330 0.079620 -0.045172 0.114387 0.002756 0.272080
147 0 8.335950 0.108215 0.117245 0.229965 -0.004981 -0.217140
148 0 9.909010 0.028095 1.869280 0.057050 0.001921 0.482170
149 0 9.920990 0.021780 1.907560 0.030670 0.000007 0.005663
150 0 8.061110 0.091005 -0.364749 0.289950 -0.012442 -0.477010
151 0 8.286740 0.048550 0.380376 0.041846 0.000792 0.320100
152 0 8.178310 0.228670 0.343970 0.130152 -0.020668 -0.747040
153 0 8.539250 0.030385 0.414437 0.083156 -0.000464 -0.158290
156 0 8.303140 0.096715 0.246004 0.211135 -0.001423 -0.072844
158 0 8.683650 0.249780 0.510257 0.168432 -0.026936 -0.729200
160 1 7.473100 0.151100 -0.151341 0.102237 -0.007326 -0.532290
161 0 8.570660 0.112750 0.688582 0.149275 -0.002221 -0.147510
164 0 8.629160 0.028715 0.568931 0.072581 -0.000678 -0.204030
165 0 8.158610 0.036880 0.071934 0.085020 0.000130 0.027188
166 0 9.167620 0.061760 0.724472 0.245178 -0.004887 -0.305950
167 0 8.713580 0.070290 0.777920 0.058451 0.001234 0.212510
169 0 7.483490 0.213260 -0.565236 0.176590 -0.016512 -0.469230
170 0 8.009690 0.165690 -0.401798 0.228630 -0.020891 -0.548530
171 1 8.383230 0.079630 -0.411499 0.088377 -0.003109 -0.421860
172 0 9.011380 0.074930 0.640222 0.232137 -0.008437 -0.493490
173 0 8.840460 0.070400 0.865212 0.054005 0.000818 0.182560
174 0 8.458180 0.128165 -0.010546 0.183002 -0.015204 -0.585290
175 0 8.869420 0.038055 0.950850 0.042723 0.000146 0.065119
177 0 8.350700 0.161035 0.534999 0.111990 -0.010841 -0.624720
181 0 8.173660 0.060385 0.227276 0.058855 0.001134 0.258510
183 0 8.601780 0.041160 0.625692 0.048058 0.000155 0.065629
184 1 8.273560 0.108790 -0.467575 0.246167 -0.016449 -0.712060
185 0 8.501540 0.122935 0.433139 0.181601 -0.002713 -0.131220
186 0 8.615400 0.057385 0.602200 0.132371 0.001933 0.211890
187 0 8.783330 0.041940 0.917652 0.029936 0.000360 0.247220
188 0 7.518510 0.232870 -0.696623 0.224909 -0.023888 -0.460440
189 0 7.834280 0.207200 -0.518610 0.249123 -0.026846 -0.527570
190 0 7.942210 0.136860 -0.386974 0.268452 -0.010498 -0.272200
191 0 8.790970 0.034865 0.816741 0.036584 0.000047 0.031577
192 0 8.480270 0.031625 0.340766 0.121367 -0.000430 -0.074378
194 0 7.619550 0.166330 -0.397113 0.182259 -0.004442 -0.159910
195 0 7.816880 0.137520 -0.228158 0.223615 0.000734 0.025988
196 0 7.792510 0.104410 -0.275206 0.206502 0.003391 0.151330
198 0 7.385610 0.158885 -0.459927 0.111829 -0.006996 -0.422800
199 0 8.796440 0.021130 0.703584 0.036959 0.000327 0.397810
200 0 8.414340 0.128825 0.442979 0.161219 -0.003411 -0.187330
201 0 8.047470 0.080465 -0.121072 0.158851 0.001231 0.060185
202 0 7.459450 0.250360 -0.694734 0.195782 -0.024919 -0.551080
203 0 8.033060 0.095000 0.330749 0.095225 -0.002921 -0.342370
206 0 9.233800 0.034375 1.313820 0.022945 0.000208 0.245280
207 0 8.549130 0.032215 0.499921 0.073857 0.000295 0.116490
209 0 8.383620 0.085030 0.353672 0.191693 -0.002395 -0.141770
210 0 7.983800 0.078105 0.010554 0.078051 0.001304 0.158530
213 0 8.150680 0.085255 0.210804 0.077257 0.002517 0.287040
215 0 8.886390 0.075840 0.938495 0.145674 -0.001946 -0.196690
216 0 9.401530 0.039940 1.449210 0.034965 0.003136 0.505230
217 0 8.651780 0.040865 0.707549 0.033507 0.000289 0.174910
218 0 7.669470 0.262365 -0.485124 0.213932 -0.036175 -0.657620
219 0 9.101720 0.052205 1.113020 0.050065 0.000270 0.087840
220 0 8.506690 0.065205 0.195721 0.248541 -0.005944 -0.342140
223 0 8.734660 0.034575 0.755797 0.066698 0.000153 0.048216
224 0 8.177780 0.100615 0.087346 0.204269 -0.003561 -0.188450
227 1 8.658690 0.112535 0.110926 0.241802 -0.017920 -0.734740
228 0 8.298870 0.230670 0.193200 0.241932 -0.037298 -0.735310
229 0 8.160710 0.050120 0.161207 0.078494 0.001176 0.242670
231 1 8.348300 0.170980 -0.305154 0.228370 -0.028627 -0.700810
232 0 7.860740 0.110030 -0.346299 0.254070 -0.004400 -0.162420
234 1 8.036890 0.109090 0.599828 0.052671 -0.003943 -0.632170
235 0 8.617030 0.091105 0.715723 0.147785 -0.004385 -0.367660
236 0 9.006540 0.085295 1.058120 0.137644 -0.002643 -0.256870
237 0 8.582890 0.043630 0.516750 0.126226 -0.001057 -0.134980
238 0 7.403670 0.082590 -0.298259 0.040562 0.002484 0.697970
240 0 8.718850 0.176260 0.292083 0.202854 -0.030150 -0.810820
241 0 7.414250 0.173230 -0.518887 0.125642 -0.010375 -0.523560
242 0 9.897920 0.019845 1.837120 0.047570 0.001121 0.473380
244 0 8.792480 0.059770 0.818920 0.175755 -0.001962 -0.208070
245 0 8.145240 0.081355 -0.195373 0.255751 -0.009156 -0.349500
246 0 9.745160 0.051055 1.934210 0.085500 -0.001039 -0.213910
247 0 9.740650 0.058300 1.946210 0.076445 -0.000851 -0.181640
248 0 8.029690 0.118480 -0.059537 0.223169 0.003590 0.149840
249 0 7.969850 0.111410 -0.050902 0.201897 0.003146 0.148750
250 0 8.102430 0.127760 -0.059490 0.238753 -0.001319 -0.048504
251 0 8.255250 0.062640 -0.035597 0.144314 -0.006771 -0.505240
252 0 8.654150 0.110660 0.951261 0.070146 -0.006609 -0.776780
253 0 7.942890 0.047435 -0.015034 0.048542 0.001263 0.399360
254 0 9.407710 0.078410 1.432260 0.133590 -0.000942 -0.080837
255 0 8.724100 0.028475 0.670724 0.076131 -0.000202 -0.074536
258 0 8.665600 0.031925 0.630304 0.064665 0.000257 0.110930
261 0 8.242010 0.096405 0.324075 0.154733 0.000184 0.013724
262 0 8.466520 0.072865 0.396611 0.194994 0.002631 0.194310
263 0 8.944000 0.039980 1.046340 0.046905 0.000322 0.127910
264 0 9.786980 0.043245 1.686710 0.156600 0.000949 0.150100
265 0 8.862970 0.101100 0.442657 0.213303 -0.014177 -0.678480
267 0 8.253590 0.059970 0.255942 0.142770 0.000587 0.064005
268 0 8.499550 0.044630 0.407615 0.116696 -0.001557 -0.209390
269 0 9.490680 0.079010 1.091780 0.229935 -0.014142 -0.858060
271 0 9.726530 0.045495 1.743820 0.065345 0.001073 0.242650
272 0 8.441810 0.080405 0.439465 0.110076 0.001434 0.127570
273 0 8.282000 0.053655 0.289061 0.067832 0.000254 0.059453
274 1 7.965920 0.241840 -0.558847 0.241995 -0.049877 -0.782730
277 0 8.755850 0.149810 0.464779 0.201747 -0.000345 -0.009696
279 0 8.029360 0.184660 -0.184611 0.190436 -0.017040 -0.487590
280 0 10.000800 0.029955 1.879410 0.213140 -0.000858 -0.136460
283 0 7.923610 0.093170 -0.342646 0.250790 -0.004322 -0.166280
285 0 8.545610 0.026190 0.599360 0.027648 0.000067 0.083049
286 0 8.890800 0.072545 0.763244 0.191595 -0.000631 -0.049757
288 0 8.193440 0.094185 -0.009540 0.216794 -0.004511 -0.233280
290 0 8.548480 0.069260 0.583397 0.055805 0.002350 0.337320
292 0 8.622460 0.036275 0.471016 0.128277 -0.000470 -0.072678
296 0 7.985100 0.156390 -0.286801 0.232055 -0.014513 -0.397130
297 0 9.279160 0.045885 1.346260 0.044965 0.001770 0.384840
298 0 7.735560 0.169550 -0.135402 0.115904 -0.009434 -0.467250
299 1 8.291550 0.163245 -0.487458 0.207469 -0.023793 -0.647650
300 0 8.391790 0.062385 0.453637 0.054201 0.001459 0.320080
301 0 10.229000 0.035550 2.319850 0.024380 0.000455 0.299050
302 0 9.554750 0.054405 1.724170 0.049680 0.000365 0.086877
303 0 8.736060 0.023235 0.604077 0.075172 0.000169 0.089422
306 0 7.674390 0.190810 -0.558027 0.218043 -0.018457 -0.444290
307 0 8.996540 0.057050 0.643340 0.179288 -0.003376 -0.338570
308 0 9.479050 0.032735 1.578480 0.022570 0.000713 0.336250
309 0 9.807640 0.055260 1.865770 0.040505 -0.000009 -0.003346
310 0 8.916350 0.021965 0.909856 0.031888 0.000032 0.037329
313 0 7.836830 0.120095 -0.448139 0.229644 -0.010041 -0.376360
316 1 8.087300 0.150090 -0.581482 0.247173 -0.024729 -0.588600
317 1 8.429040 0.083160 0.982844 0.052485 -0.003242 -0.638350
318 0 8.941190 0.064825 0.966510 0.058332 0.001127 0.221270
319 0 7.446660 0.093975 -0.411109 0.148767 0.005551 0.417570
322 0 7.717020 0.145925 -0.417884 0.182671 -0.007840 -0.312890
323 0 9.175580 0.026290 1.060510 0.044945 -0.000150 -0.118710
325 0 8.187250 0.075540 0.261147 0.078938 0.001109 0.144600
326 0 8.526310 0.065920 0.667245 0.050277 0.001067 0.290920
327 0 9.371840 0.085655 1.454240 0.060200 0.001750 0.217830
331 0 8.908420 0.042125 0.934769 0.035552 -0.000026 -0.014231
332 0 9.884860 0.025420 1.806680 0.056180 0.001495 0.565070
334 0 9.389470 0.067795 1.572770 0.135470 -0.003610 -0.423880
336 0 9.496110 0.068815 1.619910 0.120985 -0.001665 -0.194960
340 0 9.886690 0.051065 1.938840 0.203780 -0.002524 -0.268010
341 1 9.712740 0.185335 1.018160 0.361710 -0.041450 -0.816940
342 0 9.696840 0.027805 1.631840 0.050925 0.000553 0.146380
344 0 9.912290 0.031505 1.726110 0.114225 -0.002340 -0.554650
347 0 9.166240 0.080130 1.224560 0.077825 0.003122 0.297900
350 0 8.650930 0.126550 0.867648 0.085330 -0.006720 -0.607740
351 0 10.208100 0.030650 1.988870 0.128925 -0.003681 -0.611570
353 0 9.640930 0.023115 1.609720 0.043280 0.000898 0.357960
354 0 9.218230 0.050460 1.421790 0.093925 -0.001226 -0.240650
355 0 10.412900 0.043400 2.516720 0.163595 -0.001562 -0.118870
361 0 8.918680 0.075955 1.001250 0.160269 -0.002197 -0.202070
362 0 10.107800 0.032200 2.156890 0.021760 0.000731 0.313250
363 0 9.178430 0.092065 1.158290 0.162520 -0.005193 -0.383740
364 0 9.478520 0.056320 1.494060 0.056455 -0.000235 -0.051754
365 0 9.842520 0.035300 1.927670 0.021545 0.000081 0.099703
366 0 10.229700 0.040700 2.241930 0.089840 -0.000972 -0.220950
367 0 10.205000 0.036500 2.213050 0.041845 0.000065 0.011348
369 0 9.730070 0.031565 1.550470 0.105995 -0.002450 -0.509970
371 0 8.449840 0.135380 0.720942 0.090773 -0.007201 -0.565390
372 0 9.516270 0.080975 1.526720 0.063265 0.000603 0.092892
375 0 10.024500 0.045240 2.104660 0.028585 0.002577 0.443470
380 0 10.397700 0.052650 2.439960 0.169510 -0.010784 -0.696200
381 0 8.637640 0.102575 0.740743 0.149984 -0.002717 -0.196610
386 0 10.199900 0.018650 2.156410 0.042285 0.000228 0.265120
388 0 9.452340 0.086065 1.773780 0.087770 -0.005131 -0.673550
389 0 9.661570 0.026050 1.662630 0.033655 0.000064 0.065466
390 0 9.348880 0.037060 1.382920 0.038410 -0.000085 -0.054340
391 0 10.295500 0.047550 2.212400 0.189490 -0.001525 -0.175200
395 0 9.777740 0.027410 1.785690 0.035060 0.000358 0.114450
396 0 9.992910 0.053965 2.246470 0.069755 -0.001096 -0.248250
397 0 10.512400 0.085650 2.348610 0.298155 -0.022820 -0.849070
398 0 9.966460 0.024595 1.924080 0.048535 0.000923 0.252640
401 0 9.757790 0.024020 1.648260 0.060560 0.000798 0.338460
402 0 9.798310 0.023010 1.679490 0.062180 0.001074 0.364490
403 0 9.871400 0.037565 1.836720 0.051200 -0.000227 -0.096071
404 0 9.565970 0.067875 1.604640 0.089630 -0.000529 -0.077334
407 0 9.604720 0.086185 1.560450 0.147690 -0.005786 -0.332580
418 0 8.937490 0.085635 1.036080 0.154405 -0.002861 -0.238680
