# id x_refit sx_refit y_refit sy_refit covxy_refit corrxy_refit
11 0.644445 0.050610 0.758227 0.027595 0.001609 0.377740
19 0.693885 0.051305 0.687727 0.050045 0.000124 0.044734
27 1.452425 0.030900 1.495317 0.027795 0.000042 0.043663
30 0.467295 0.076655 0.628217 0.049080 0.000962 0.154680
31 1.543825 0.025950 1.470717 0.063085 0.000079 0.011224
34 0.967295 0.031125 0.915837 0.055580 0.000267 0.106730
37 0.802725 0.083800 0.901137 0.042440 0.001353 0.340840
38 1.340525 0.049700 1.204148 0.182130 -0.002003 -0.117510
41 0.698285 0.065685 0.915767 0.034970 0.000352 0.136990
42 0.676755 0.070165 0.728827 0.058825 0.000393 0.072540
43 0.725145 0.028825 0.675447 0.044090 -0.000068 -0.043481
46 0.664415 0.021580 0.611127 0.047495 0.000426 0.229980
48 0.764015 0.028745 0.727188 0.052065 -0.000053 -0.030658
49 0.905046 0.059945 0.983787 0.054295 0.001153 0.097210
50 1.070015 0.041940 1.121967 0.026820 0.000778 0.286640
51 0.308375 0.118965 0.102327 0.219345 -0.005161 -0.223700
53 -0.522435 0.111235 -0.326520 0.118789 -0.003017 -0.255070
57 0.817656 0.048060 0.801247 0.050740 0.000835 0.170600
62 1.221625 0.061910 1.295857 0.038495 0.000175 0.023560
63 0.003765 0.074245 0.063699 0.089345 0.000359 0.040978
64 0.692425 0.044025 0.693907 0.066295 -0.000215 -0.065037
65 0.761565 0.057210 0.929617 0.067720 0.000007 0.001398
66 0.772985 0.051150 0.895307 0.164885 0.001944 0.264950
69 1.067595 0.047025 1.022087 0.059455 0.003072 0.561020
74 0.337445 0.074475 0.353267 0.083090 0.000251 0.030493
76 0.581665 0.074905 0.756887 0.111575 -0.002737 -0.328240
79 -0.574895 0.217135 -1.071332 0.163246 -0.035133 -0.810040
80 -0.572155 0.166515 -0.924270 0.189939 -0.015872 -0.481010
81 0.011775 0.050990 0.039644 0.044969 0.000389 0.137120
83 -0.423045 0.151405 -0.412128 0.168530 -0.002375 -0.102700
87 0.097725 0.060095 0.376527 0.085255 0.000208 0.039161
88 -0.002145 0.165150 0.165039 0.115159 -0.015241 -0.808900
89 0.301496 0.055950 0.137907 0.167779 0.001165 0.111510
90 -0.425445 0.128785 -0.446661 0.173221 0.004591 0.222940
91 0.698655 0.048595 0.652658 0.071565 0.003525 0.506660
95 1.094545 0.030890 1.084628 0.033755 0.000892 0.338740
97 0.059695 0.037775 0.003702 0.060440 0.000266 0.100790
98 0.623535 0.028815 0.494457 0.063700 0.000550 0.241640
99 -0.075095 0.070345 0.015956 0.040787 0.001404 0.405900
101 0.560575 0.052195 0.722377 0.062910 0.000013 0.002643
102 0.579855 0.053330 0.756498 0.036495 0.000416 0.191250
104 0.978585 0.059195 1.100227 0.027880 0.001651 0.348590
106 -1.113895 0.242410 -0.955207 0.127330 -0.010509 -0.368040
107 0.464335 0.037050 0.424147 0.050810 0.002012 0.404370
108 1.275225 0.060900 1.329458 0.032620 0.000723 0.250770
109 0.669445 0.026550 0.691317 0.025415 0.001744 0.442810
110 -0.444855 0.099075 -0.943519 0.249919 -0.013546 -0.540790
112 -0.489435 0.114940 -0.978279 0.240234 -0.014290 -0.515910
114 0.032795 0.081810 0.058664 0.047119 0.001171 0.273970
115 -0.397665 0.075365 -0.394165 0.062995 0.001554 0.272770
116 -0.640635 0.306910 -0.797336 0.198772 -0.033537 -0.637140
117 0.211765 0.043665 0.247737 0.035615 0.000227 0.123340
118 -1.386735 0.134310 -1.542135 0.229680 -0.000602 -0.020640
119 -0.617435 0.090945 -0.334132 0.088442 -0.003591 -0.477180
122 -0.350055 0.167645 -0.519139 0.174923 -0.011634 -0.437860
123 -1.515755 0.260475 -1.488039 0.150974 -0.023820 -0.697720
125 0.694995 0.059675 0.901348 0.032350 0.000264 0.122330
126 -0.720815 0.128090 -0.900085 0.133720 -0.011016 -0.630770
127 -0.773405 0.059070 -0.823256 0.101533 0.001135 0.105370
128 -0.081964 0.058590 -0.173942 0.090675 0.000820 0.100300
131 -0.751845 0.058270 -0.995421 0.219697 -0.002586 -0.160520
132 -0.598595 0.045605 -0.779594 0.156236 -0.001597 -0.191320
133 -0.796485 0.092445 -1.062111 0.259474 -0.003595 -0.151900
134 -0.537535 0.085410 -0.691864 0.227683 -0.002738 -0.144780
135 -0.844125 0.081730 -1.163261 0.261511 -0.008448 -0.345160
136 -0.607055 0.166580 -0.725068 0.178149 -0.008664 -0.310730
137 0.410686 0.030500 0.230917 0.079576 0.001831 0.836440
138 -0.709645 0.050035 -0.807356 0.104747 0.000608 0.084809
140 -0.131725 0.097770 -0.159116 0.096806 -0.006141 -0.573580
142 -0.740155 0.059620 -0.885484 0.191900 0.000347 0.027598
143 -0.599495 0.047845 -0.587115 0.077560 0.001070 0.231890
144 0.158335 0.042030 0.249738 0.032735 0.000374 0.230460
145 -0.916645 0.079620 -0.867795 0.114387 0.002756 0.272080
147 -0.484025 0.108215 -0.705378 0.229965 -0.004981 -0.217140
148 1.089035 0.028095 1.046657 0.057050 0.001921 0.482170
149 1.101015 0.021780 1.084937 0.030670 0.000007 0.005663
150 -0.758865 0.091005 -1.187371 0.289950 -0.012442 -0.477010
151 -0.533235 0.048550 -0.442247 0.041846 0.000792 0.320100
152 -0.641665 0.228670 -0.478653 0.130152 -0.020668 -0.747040
153 -0.280725 0.030385 -0.408186 0.083156 -0.000464 -0.158290
156 -0.516835 0.096715 -0.576619 0.211135 -0.001423 -0.072844
158 -0.136325 0.249780 -0.312366 0.168432 -0.026936 -0.729200
161 -0.249315 0.112750 -0.134041 0.149275 -0.002221 -0.147510
164 -0.190815 0.028715 -0.253692 0.072581 -0.000678 -0.204030
165 -0.661365 0.036880 -0.750689 0.085020 0.000130 0.027188
166 0.347645 0.061760 -0.098151 0.245178 -0.004887 -0.305950
167 -0.106395 0.070290 -0.044703 0.058451 0.001234 0.212510
169 -1.336485 0.213260 -1.387859 0.176590 -0.016512 -0.469230
170 -0.810285 0.165690 -1.224421 0.228630 -0.020891 -0.548530
172 0.191405 0.074930 -0.182401 0.232137 -0.008437 -0.493490
173 0.020485 0.070400 0.042589 0.054005 0.000818 0.182560
174 -0.361794 0.128165 -0.833169 0.183002 -0.015204 -0.585290
175 0.049445 0.038055 0.128227 0.042723 0.000146 0.065119
177 -0.469275 0.161035 -0.287624 0.111990 -0.010841 -0.624720
181 -0.646315 0.060385 -0.595347 0.058855 0.001134 0.258510
183 -0.218195 0.041160 -0.196931 0.048058 0.000155 0.065629
185 -0.318435 0.122935 -0.389484 0.181601 -0.002713 -0.131220
186 -0.204575 0.057385 -0.220423 0.132371 0.001933 0.211890
187 -0.036645 0.041940 0.095029 0.029936 0.000360 0.247220
188 -1.301465 0.232870 -1.519246 0.224909 -0.023888 -0.460440
189 -0.985695 0.207200 -1.341233 0.249123 -0.026846 -0.527570
190 -0.877765 0.136860 -1.209597 0.268452 -0.010498 -0.272200
191 -0.029005 0.034865 -0.005882 0.036584 0.000047 0.031577
192 -0.339705 0.031625 -0.481857 0.121367 -0.000430 -0.074378
194 -1.200425 0.166330 -1.219736 0.182259 -0.004442 -0.159910
195 -1.003095 0.137520 -1.050781 0.223615 0.000734 0.025988
196 -1.027465 0.104410 -1.097829 0.206502 0.003391 0.151330
198 -1.434365 0.158885 -1.282550 0.111829 -0.006996 -0.422800
199 -0.023535 0.021130 -0.119039 0.036959 0.000327 0.397810
200 -0.405635 0.128825 -0.379644 0.161219 -0.003411 -0.187330
201 -0.772505 0.080465 -0.943695 0.158851 0.001231 0.060185
202 -1.360525 0.250360 -1.517357 0.195782 -0.024919 -0.551080
203 -0.786915 0.095000 -0.491874 0.095225 -0.002921 -0.342370
206 0.413825 0.034375 0.491197 0.022945 0.000208 0.245280
207 -0.270844 0.032215 -0.322702 0.073857 0.000295 0.116490
209 -0.436355 0.085030 -0.468951 0.191693 -0.002395 -0.141770
210 -0.836175 0.078105 -0.812069 0.078051 0.001304 0.158530
213 -0.669295 0.085255 -0.611819 0.077257 0.002517 0.287040
215 0.066415 0.075840 0.115872 0.145674 -0.001946 -0.196690
216 0.581555 0.039940 0.626588 0.034965 0.003136 0.505230
217 -0.168195 0.040865 -0.115074 0.033507 0.000289 0.174910
218 -1.150505 0.262365 -1.307747 0.213932 -0.036175 -0.657620
219 0.281745 0.052205 0.290397 0.050065 0.000270 0.087840
220 -0.313285 0.065205 -0.626902 0.248541 -0.005944 -0.342140
223 -0.085315 0.034575 -0.066826 0.066698 0.000153 0.048216
224 -0.642195 0.100615 -0.735276 0.204269 -0.003561 -0.188450
228 -0.521105 0.230670 -0.629423 0.241932 -0.037298 -0.735310
229 -0.659265 0.050120 -0.661416 0.078494 0.001176 0.242670
232 -0.959235 0.110030 -1.168921 0.254070 -0.004400 -0.162420
235 -0.202945 0.091105 -0.106900 0.147785 -0.004385 -0.367660
236 0.186565 0.085295 0.235497 0.137644 -0.002643 -0.256870
237 -0.237085 0.043630 -0.305873 0.126226 -0.001057 -0.134980
238 -1.416305 0.082590 -1.120882 0.040562 0.002484 0.697970
240 -0.101125 0.176260 -0.530540 0.202854 -0.030150 -0.810820
241 -1.405725 0.173230 -1.341510 0.125642 -0.010375 -0.523560
242 1.077945 0.019845 1.014498 0.047570 0.001121 0.473380
244 -0.027494 0.059770 -0.003703 0.175755 -0.001962 -0.208070
245 -0.674735 0.081355 -1.017996 0.255751 -0.009156 -0.349500
246 0.925185 0.051055 1.111587 0.085500 -0.001039 -0.213910
247 0.920675 0.058300 1.123587 0.076445 -0.000851 -0.181640
248 -0.790285 0.118480 -0.882159 0.223169 0.003590 0.149840
249 -0.850125 0.111410 -0.873525 0.201897 0.003146 0.148750
250 -0.717545 0.127760 -0.882113 0.238753 -0.001319 -0.048504
251 -0.564725 0.062640 -0.858219 0.144314 -0.006771 -0.505240
252 -0.165825 0.110660 0.128638 0.070146 -0.006609 -0.776780
253 -0.877085 0.047435 -0.837657 0.048542 0.001263 0.399360
254 0.587735 0.078410 0.609637 0.133590 -0.000942 -0.080837
255 -0.095875 0.028475 -0.151899 0.076131 -0.000202 -0.074536
258 -0.154375 0.031925 -0.192319 0.064665 0.000257 0.110930
261 -0.577965 0.096405 -0.498548 0.154733 0.000184 0.013724
262 -0.353455 0.072865 -0.426012 0.194994 0.002631 0.194310
263 0.124025 0.039980 0.223717 0.046905 0.000322 0.127910
264 0.967005 0.043245 0.864087 0.156600 0.000949 0.150100
265 0.042995 0.101100 -0.379966 0.213303 -0.014177 -0.678480
267 -0.566385 0.059970 -0.566681 0.142770 0.000587 0.064005
268 -0.320425 0.044630 -0.415008 0.116696 -0.001557 -0.209390
269 0.670705 0.079010 0.269157 0.229935 -0.014142 -0.858060
271 0.906555 0.045495 0.921197 0.065345 0.001073 0.242650
272 -0.378165 0.080405 -0.383158 0.110076 0.001434 0.127570
273 -0.537975 0.053655 -0.533562 0.067832 0.000254 0.059453
277 -0.064125 0.149810 -0.357844 0.201747 -0.000345 -0.009696
279 -0.790615 0.184660 -1.007234 0.190436 -0.017040 -0.487590
280 1.180825 0.029955 1.056787 0.213140 -0.000858 -0.136460
283 -0.896365 0.093170 -1.165269 0.250790 -0.004322 -0.166280
285 -0.274364 0.026190 -0.223263 0.027648 0.000067 0.083049
286 0.070826 0.072545 -0.059379 0.191595 -0.000631 -0.049757
288 -0.626534 0.094185 -0.832162 0.216794 -0.004511 -0.233280
290 -0.271495 0.069260 -0.239226 0.055805 0.002350 0.337320
292 -0.197515 0.036275 -0.351607 0.128277 -0.000470 -0.072678
296 -0.834875 0.156390 -1.109424 0.232055 -0.014513 -0.397130
297 0.459185 0.045885 0.523637 0.044965 0.001770 0.384840
298 -1.084415 0.169550 -0.958025 0.115904 -0.009434 -0.467250
300 -0.428185 0.062385 -0.368986 0.054201 0.001459 0.320080
301 1.409025 0.035550 1.497227 0.024380 0.000455 0.299050
302 0.734776 0.054405 0.901547 0.049680 0.000365 0.086877
303 -0.083915 0.023235 -0.218546 0.075172 0.000169 0.089422
