# x xerr y yerr ymodel yresidual
1.104780 0.097300 0.991294 0.086825 0.987774 0.003520
0.721951 0.219360 0.206678 0.161364 0.624986 -0.418308
1.020790 0.077770 0.921274 0.052025 0.908181 0.013093
0.132791 0.148160 0.208182 0.107306 0.066669 0.141512
1.001960 0.059715 1.008644 0.106785 0.890336 0.118308
0.590460 0.076480 0.511434 0.135345 0.500379 0.011055
1.254271 0.093925 1.311004 0.081860 1.129438 0.181566
0.976270 0.069350 0.792954 0.091640 0.865991 -0.073037
0.798881 0.079095 0.659174 0.091150 0.697888 -0.038714
0.068380 0.110505 0.164516 0.096038 0.005631 0.158885
1.212870 0.044705 1.317644 0.105165 1.090204 0.227440
1.244530 0.052710 1.093094 0.150875 1.120207 -0.027113
0.239170 0.137980 0.294404 0.103277 0.167480 0.126924
0.593710 0.082325 0.621474 0.107610 0.503459 0.118015
0.333301 0.177745 0.339794 0.106170 0.256682 0.083112
-0.286460 0.217850 -0.141372 0.101460 -0.330632 0.189260
0.186890 0.087575 0.324444 0.113520 0.117936 0.206508
1.680300 0.093000 0.895184 0.140710 1.533164 -0.637980
-0.002270 0.045195 0.863504 0.052340 -0.061320 0.924824
1.245050 0.055825 1.185014 0.113670 1.120700 0.064314
0.461101 0.067555 0.594324 0.057245 0.377792 0.216532
0.202621 0.073300 0.145713 0.131019 0.132844 0.012869
1.441300 0.052350 1.210814 0.128405 1.306676 -0.095862
1.639200 0.048550 1.702294 0.051935 1.494216 0.208078
1.031820 0.095960 0.944254 0.116950 0.918633 0.025621
0.447780 0.070795 0.460904 0.129510 0.365168 0.095736
0.570630 0.160025 0.494294 0.077795 0.481587 0.012707
0.921160 0.093190 0.969564 0.087945 0.813766 0.155798
0.895570 0.066880 0.643554 0.162300 0.789516 -0.145962
1.124360 0.070210 1.179304 0.084200 1.006328 0.172976
0.424500 0.084090 0.434634 0.106695 0.343108 0.091526
1.355200 0.070000 1.269534 0.061810 1.225083 0.044451
0.093740 0.108970 0.342714 0.099785 0.029664 0.313050
0.881330 0.082185 1.025204 0.111900 0.776022 0.249182
0.898120 0.098100 0.851964 0.055030 0.791932 0.060032
0.206531 0.347940 0.230664 0.164339 0.136549 0.094115
0.393510 0.105775 0.529384 0.096920 0.313740 0.215644
1.435300 0.033550 1.475274 0.053055 1.300990 0.174284
1.003020 0.043445 0.818304 0.135625 0.891341 -0.073037
1.093280 0.047005 1.019004 0.112900 0.976875 0.042129
-0.044950 0.130050 0.215034 0.118482 -0.101766 0.316800
1.042060 0.067515 0.938134 0.045585 0.928337 0.009797
0.295930 0.073635 1.027854 0.076970 0.221268 0.806586
0.272670 0.098700 0.329704 0.085105 0.199226 0.130478
0.099100 0.305545 0.237714 0.197959 0.034743 0.202971
0.636450 0.065780 0.826484 0.116070 0.543961 0.282523
1.001440 0.095925 0.957254 0.115450 0.889844 0.067410
1.298800 0.109440 1.370314 0.077965 1.171636 0.198678
0.906790 0.052835 0.694864 0.147525 0.800148 -0.105284
0.987770 0.064925 0.877314 0.082190 0.876889 0.000425
0.844020 0.061235 0.815774 0.101580 0.740665 0.075109
0.957960 0.138465 0.983474 0.076215 0.848640 0.134834
0.715690 0.065470 0.711674 0.080050 0.619053 0.092621
0.920190 0.048370 0.965524 0.084990 0.812847 0.152677
1.243190 0.040530 1.355364 0.050180 1.118937 0.236427
0.202960 0.067970 0.182414 0.115189 0.133165 0.049249
0.861040 0.048645 0.998684 0.116830 0.756794 0.241890
1.474500 0.041300 1.583794 0.119690 1.338138 0.245656
-0.143650 0.135580 -0.074277 0.112806 -0.195299 0.121022
-0.192640 0.154265 -0.568490 0.183908 -0.241724 -0.326766
0.140850 0.080645 0.269394 0.105668 0.074307 0.195087
-0.850500 0.248700 -0.617409 0.121532 -0.865144 0.247735
-0.126210 0.200045 -0.271786 0.116154 -0.178772 -0.093014
0.191900 0.215250 0.061418 0.093099 0.122685 -0.061267
0.476521 0.092490 0.338884 0.092045 0.392405 -0.053521
0.495200 0.090235 -0.152881 0.105911 0.410106 -0.562987
-0.241770 0.084535 -0.255101 0.111514 -0.288282 0.033181
-0.047270 0.049755 -0.190774 0.116466 -0.103964 -0.086810
-0.330330 0.121395 -0.530271 0.120547 -0.372206 -0.158065
0.115610 0.139260 0.248284 0.113921 0.050388 0.197896
0.252720 0.067995 0.323254 0.043755 0.180320 0.142934
1.152010 0.046690 1.227494 0.045595 1.032531 0.194963
-0.331470 0.305045 0.137231 0.178500 -0.373286 0.510517
-0.226560 0.072300 -0.104628 0.063268 -0.273868 0.169240
0.121850 0.120875 0.180213 0.109298 0.056302 0.123911
-0.010380 0.125815 -0.010361 0.117857 -0.069006 0.058645
0.289610 0.177455 0.392264 0.075420 0.215279 0.176985
0.284310 0.034665 0.034634 0.207211 0.210257 -0.175623
0.535960 0.085190 0.318324 0.116419 0.448732 -0.130408
0.587730 0.249380 0.372554 0.137385 0.497792 -0.125238
-0.806540 0.194550 -0.929536 0.137723 -0.823485 -0.106051
0.102910 0.118290 0.250064 0.099050 0.038353 0.211711
0.191560 0.064205 0.487204 0.073500 0.122362 0.364842
-0.722810 0.069620 -0.513703 0.103181 -0.744139 0.230436
1.638400 0.081050 0.748664 0.123195 1.493457 -0.744793
1.701200 0.042650 1.363634 0.268865 1.552970 -0.189336
-0.040299 0.155695 0.012075 0.092488 -0.097359 0.109434
-0.760580 0.421110 -0.826345 0.165401 -0.779931 -0.046414
0.952830 0.051780 1.072724 0.050125 0.843779 0.228945
-0.532790 0.179305 -0.249214 0.132915 -0.564067 0.314853
0.308890 0.049315 0.543644 0.104695 0.233550 0.310094
0.310160 0.052445 0.537794 0.107835 0.234753 0.303041
-0.472100 0.520110 -0.551695 0.309107 -0.506554 -0.045141
0.312790 0.093300 0.339744 0.107015 0.237246 0.102498
-0.301700 0.199275 -0.148200 0.137976 -0.345074 0.196874
-0.013309 0.113450 -0.124397 0.138614 -0.071782 -0.052615
-0.320900 0.149280 -0.397094 0.100128 -0.363269 -0.033825
0.990280 0.064860 0.830404 0.042965 0.879268 -0.048864
0.049140 0.112565 -0.098686 0.130094 -0.012602 -0.086084
-1.232910 0.125660 -1.137341 0.102611 -1.227534 0.090193
-0.819810 0.216540 -0.442780 0.138290 -0.836061 0.393281
0.141561 0.104195 0.146449 0.098434 0.074980 0.071469
0.287360 0.168890 0.165128 0.097229 0.213147 -0.048019
0.255510 0.115505 0.257634 0.070766 0.182965 0.074669
0.381260 0.042690 0.350544 0.075625 0.302131 0.048413
0.542750 0.075205 1.075664 0.083330 0.455167 0.620497
-1.033520 0.196105 -1.137729 0.151751 -1.038582 -0.099147
1.193880 0.092790 1.016554 0.074575 1.072209 -0.055655
0.981710 0.029270 0.804344 0.118300 0.871147 -0.066803
-0.576390 0.226185 -0.412802 0.102719 -0.605384 0.192582
