# x_refit sx_refit y_refit sy_refit
1.104780 0.097300 0.909253 0.174410
1.020790 0.077770 0.846263 0.114030
0.132791 0.148160 0.191436 0.149961
1.001960 0.059715 1.005293 0.138125
0.590460 0.076480 0.460243 0.222354
1.254271 0.093925 1.290283 0.131580
0.976270 0.069350 0.696043 0.175010
0.798881 0.079095 0.585983 0.167505
0.068380 0.110505 0.155867 0.133829
1.212870 0.044705 1.321793 0.135225
1.244530 0.052710 1.047463 0.240670
0.239170 0.137980 0.268773 0.156933
0.593710 0.082325 0.597543 0.163135
0.333301 0.177745 0.296693 0.177876
-0.286460 0.217850 -0.161364 0.151954
0.186890 0.087575 0.331093 0.135228
1.245050 0.055825 1.155813 0.184530
0.461101 0.067555 0.615233 0.058730
0.202621 0.073300 0.108514 0.205177
1.441300 0.052350 1.151473 0.237785
1.639200 0.048550 1.719913 0.058145
1.031820 0.095960 0.861203 0.213230
0.447780 0.070795 0.442443 0.194078
0.570630 0.160025 0.431593 0.160930
0.921160 0.093190 0.989063 0.080700
0.895570 0.066880 0.582983 0.248445
1.124360 0.070210 1.160183 0.132925
0.424500 0.084090 0.395413 0.174534
1.355200 0.070000 1.186253 0.140095
0.093740 0.108970 0.359803 0.105475
0.881330 0.082185 1.032013 0.134650
0.898120 0.098100 0.783363 0.123805
0.206531 0.347940 0.183355 0.246143
0.393510 0.105775 0.531683 0.122130
1.435300 0.033550 1.484593 0.064000
1.003020 0.043445 0.827253 0.190740
1.093280 0.047005 1.029573 0.127275
-0.044950 0.130050 0.225874 0.135152
1.042060 0.067515 0.846353 0.107165
0.272670 0.098700 0.305703 0.137127
0.099100 0.305545 0.208055 0.270309
0.636450 0.065780 0.845443 0.124100
1.001440 0.095925 0.910393 0.191385
1.298800 0.109440 1.353073 0.124315
0.906790 0.052835 0.654313 0.219840
0.987770 0.064925 0.806973 0.152060
0.844020 0.061235 0.769353 0.176945
0.957960 0.138465 0.961743 0.124460
0.715690 0.065470 0.737463 0.059925
0.920190 0.048370 0.969383 0.109175
1.243190 0.040530 1.376913 0.051820
0.202960 0.067970 0.135284 0.191529
0.861040 0.048645 1.005873 0.150925
1.474500 0.041300 1.579333 0.170025
-0.143650 0.135580 -0.090689 0.162611
-0.192640 0.154265 -0.537743 0.201180
0.140850 0.080645 0.275763 0.129581
-0.850500 0.248700 -0.627078 0.164819
-0.126210 0.200045 -0.339833 0.190775
0.191900 0.215250 -0.009892 0.172373
0.476521 0.092490 0.270383 0.181054
-0.241770 0.084535 -0.272085 0.165704
-0.047270 0.049755 -0.097927 0.053726
-0.330330 0.121395 -0.564387 0.202071
0.115610 0.139260 0.252533 0.136241
0.252720 0.067995 0.343623 0.045200
1.152010 0.046690 1.245203 0.048550
-0.226560 0.072300 -0.086299 0.065666
0.121850 0.120875 0.169685 0.151396
-0.010380 0.125815 -0.044264 0.183047
0.289610 0.177455 0.367143 0.130233
0.284310 0.034665 0.214697 0.065439
0.535960 0.085190 0.278413 0.163985
0.587730 0.249380 0.281033 0.218592
-0.806540 0.194550 -0.995583 0.210988
0.102910 0.118290 0.258643 0.115842
0.191560 0.064205 0.511273 0.073500
-0.722810 0.069620 -0.491095 0.105909
1.701200 0.042650 1.604793 0.073295
-0.040299 0.155695 -0.016161 0.148948
-0.760580 0.421110 -0.881325 0.235694
0.952830 0.051780 1.093493 0.051885
-0.532790 0.179305 -0.239378 0.151027
0.308890 0.049315 0.567833 0.104880
0.310160 0.052445 0.562013 0.108060
-0.472100 0.520110 -0.591097 0.381211
0.312790 0.093300 0.323753 0.157663
-0.301700 0.199275 -0.152900 0.176138
-0.013309 0.113450 -0.077987 0.147005
-0.320900 0.149280 -0.450777 0.165072
0.990280 0.064860 0.709173 0.097295
0.049140 0.112565 -0.089292 0.183465
-1.232910 0.125660 -1.146290 0.138498
-0.819810 0.216540 -0.435618 0.164734
0.141561 0.104195 0.168893 0.091688
0.287360 0.168890 0.105778 0.172403
0.255510 0.115505 0.207960 0.141875
0.381260 0.042690 0.383593 0.048765
-1.033520 0.196105 -1.197182 0.231292
1.193880 0.092790 0.916713 0.134670
0.981710 0.029270 0.859023 0.096290
-0.576390 0.226185 -0.430710 0.150253
0.280490 0.191520 0.427293 0.148935
-0.638490 0.201360 -1.012845 0.223308
0.330340 0.028890 0.238353 0.072453
-1.318130 0.315135 -1.094811 0.171284
-0.127900 0.367560 -0.577373 0.283030
-0.836630 0.092980 -0.880345 0.175501
-0.004270 0.124795 0.139396 0.122918
-0.378610 0.072990 -0.085635 0.099077
0.283110 0.083550 0.000000 0.217970
-0.030210 0.074655 0.032425 0.109889
-1.276990 0.293855 -1.242726 0.209110
-0.012010 0.095265 0.092314 0.113729
-0.356359 0.136570 -0.889008 0.246662
-0.108740 0.048205 -0.140389 0.200203
-0.384830 0.058105 -0.540395 0.135056
-0.153790 0.076180 -0.094647 0.151217
0.357830 0.084480 0.526063 0.127725
0.138840 0.233080 0.433313 0.171375
0.000000 0.057410 0.141734 0.142069
-0.948410 0.293030 -0.860456 0.201229
0.056610 0.147815 -0.476184 0.186323
0.944560 0.078930 1.189813 0.120680
-0.448960 0.096220 -0.488741 0.185868
-0.224110 0.234070 -0.408001 0.216702
-0.794390 0.213700 -0.860721 0.188976
-0.374000 0.079765 -0.286149 0.151725
-0.038690 0.110815 0.332323 0.094375
0.097680 0.095920 0.207621 0.123560
0.034150 0.108480 0.308943 0.104257
-1.307710 0.243180 -1.295793 0.218215
0.862650 0.063990 0.583243 0.175570
1.537900 0.044700 1.157353 0.135935
0.947140 0.120495 1.345543 0.097140
-0.272490 0.124820 -0.546015 0.168071
-0.207040 0.049720 -0.385931 0.111620
-0.611230 0.092015 -0.654438 0.191424
-0.284490 0.182330 0.130123 0.121394
0.101450 0.052425 -0.063643 0.184544
1.049550 0.102035 0.984813 0.106195
-0.673870 0.131880 -0.493680 0.108161
-0.913210 0.197130 -1.077569 0.209659
-0.689140 0.082505 -0.701402 0.178932
-0.661710 0.092825 -0.585733 0.149518
-0.959170 0.182795 -1.021961 0.163644
-0.250780 0.048760 -0.236396 0.075337
-0.727810 0.214355 -1.237966 0.250555
0.546120 0.075940 0.643753 0.130220
0.552080 0.084835 0.656953 0.129445
-0.940410 0.258990 -1.213947 0.240810
-0.307310 0.086215 -0.441617 0.203551
-0.637959 0.085335 -0.539479 0.154366
-0.487170 0.341360 -0.588172 0.258269
-0.390440 0.077960 -0.631754 0.199727
-0.843380 0.068460 -0.721589 0.152533
-0.506220 0.291700 -0.644689 0.205942
0.278730 0.030295 0.266153 0.043720
-0.331890 0.036990 -0.435133 0.052903
-0.723530 0.108220 -0.692927 0.164509
-1.120760 0.177185 -1.173501 0.164021
-0.107570 0.038765 0.020217 0.046778
-0.351000 0.077765 -0.489841 0.216036
-0.723680 0.103270 -0.485588 0.109435
-1.695010 0.160640 -1.373216 0.096289
-0.621320 0.319555 -0.515777 0.243360
0.531070 0.035775 0.423473 0.076565
-0.949150 0.280885 -0.861480 0.193636
-0.254230 0.049180 -0.328105 0.192794
-0.274960 0.064310 -0.355638 0.189764
-0.167950 0.108550 -0.454336 0.195227
0.601780 0.241265 0.432233 0.173810
-0.692530 0.142140 -0.886867 0.210286
0.122500 0.192140 0.055461 0.181891
0.409250 0.050750 0.167623 0.188105
-0.202640 0.136500 -0.717745 0.213114
-0.447960 0.200460 -0.471395 0.165823
0.220640 0.042840 -0.007711 0.077842
0.300580 0.170160 0.394243 0.137150
-0.045030 0.109305 -0.143071 0.121826
0.064710 0.057300 0.095006 0.164136
-0.669500 0.293985 -0.757912 0.201389
-0.756540 0.219990 -0.505262 0.166108
-0.760560 0.151065 -0.860487 0.196387
-1.221850 0.183605 -1.286189 0.194529
0.627110 0.054200 0.533373 0.205415
-0.441020 0.086375 -0.723765 0.218372
0.332160 0.034940 0.230514 0.073463
0.435451 0.066635 0.520633 0.053940
-0.915850 0.321400 -0.521226 0.200466
-0.694660 0.089495 -1.020197 0.239217
0.477040 0.022310 0.404813 0.051330
-0.671430 0.071585 -0.687205 0.192507
-0.837120 0.278975 -0.938942 0.205009
-0.317719 0.089460 -0.223859 0.135618
-0.640290 0.089540 -0.508529 0.137736
-0.414940 0.185485 -0.940145 0.232130
-0.484819 0.054625 -0.631426 0.192396
-0.003600 0.123915 -0.235171 0.206725
-0.353240 0.214250 -0.444410 0.167227
0.209430 0.171920 0.106956 0.181909
-0.934770 0.157390 -1.009020 0.178074
-0.297020 0.078385 -0.748328 0.211793
-1.323980 0.113085 -1.159187 0.128690
-0.210910 0.072510 -0.476538 0.174571
-0.971380 0.190035 -0.899328 0.149929
0.430970 0.042430 0.213564 0.099174
-0.784860 0.132495 -1.185556 0.198580
-0.551880 0.213245 -0.282647 0.166016
0.352720 0.028305 0.344383 0.051130
-0.165310 0.054860 -0.501697 0.220553
1.434700 0.054600 1.399373 0.054105
1.273400 0.039210 1.229533 0.063485
-0.958340 0.149050 -1.136058 0.203275
-0.823620 0.121810 -0.953898 0.165842
0.038350 0.156540 -0.178218 0.199140
0.988400 0.054720 1.168173 0.059965
-0.376980 0.056235 -0.369545 0.170483
0.172730 0.080465 0.202146 0.060610
0.029520 0.137195 0.033493 0.144203
-1.343910 0.361150 -1.250168 0.213979
-0.199940 0.042775 -0.399936 0.086117
-0.593520 0.137580 -1.083833 0.261257
0.458080 0.085900 -0.099192 0.091114
-0.559140 0.130490 -0.778011 0.216366
1.373400 0.042600 0.939803 0.147470
-0.560620 0.081625 -0.603890 0.177650
-0.660250 0.129135 -0.614017 0.161693
-0.210200 0.060935 -0.130031 0.062669
1.737900 0.073550 1.267313 0.173780
-0.536880 0.053300 -0.690421 0.202370
-0.411130 0.451075 -0.458664 0.271596
-1.365580 0.310750 -1.137357 0.178473
0.515280 0.107040 0.100892 0.184336
-0.876130 0.206415 -1.226054 0.248252
-0.913210 0.209850 -1.216569 0.202253
0.465870 0.041505 0.385183 0.076155
1.229500 0.062805 1.399933 0.129580
-0.042010 0.051845 -0.122182 0.115694
-0.503190 0.054535 -0.655521 0.090350
0.106330 0.030835 -0.013343 0.045770
-0.400340 0.106330 -0.325993 0.093210
1.101600 0.085200 1.084113 0.123135
-0.778210 0.232555 -0.865221 0.176933
-0.806500 0.259735 -0.832346 0.180171
-1.154460 0.089565 -0.996919 0.123431
0.170990 0.073170 0.318663 0.116117
-0.814680 0.097350 -0.665194 0.132726
-0.479500 0.229725 -0.725915 0.228892
0.806900 0.078915 0.463523 0.227575
-0.572430 0.134190 -0.641039 0.179953
-0.960320 0.216270 -1.209524 0.232478
-0.618160 0.127860 -0.390449 0.099791
-1.296520 0.140850 -1.258116 0.156629
0.050420 0.079425 0.112473 0.112288
0.094920 0.076045 0.192583 0.045584
-1.163980 0.132810 -0.953336 0.114863
-0.143790 0.043080 -0.185448 0.044676
-0.205190 0.143335 -0.071554 0.163264
-0.025940 0.237880 0.009378 0.171956
1.241010 0.053670 1.427483 0.108725
0.539860 0.072490 0.750293 0.114005
0.679730 0.062865 0.938503 0.074340
0.340480 0.047015 0.459953 0.058460
1.044220 0.045060 1.105063 0.063475
1.103220 0.051795 1.201853 0.133540
0.363140 0.076510 0.415203 0.130395
0.916000 0.054745 0.617073 0.222200
0.625540 0.079635 0.677343 0.137555
